slug	repo_id	url	date	n_rows	n_with_proof	proof_field	multiple_proofs_per_theorem	benchmark	model	verified_claim	bytes_downloaded	notes
agenticcommons-formalmath	AgenticCommons/formal-math-autoformalization	https://huggingface.co/datasets/AgenticCommons/formal-math-autoformalization	2026-07-31	1539	1329	lean4_proof (+lean4_statement)	no	community autoformalization submissions	mixed / community + models	VERIFIED: verification_level field + axioms_used	2384817	1329 standalone .lean files emitted
ahyxie-minif2f-deepseek	ahyxie/minif2f-proofs	https://huggingface.co/datasets/ahyxie/minif2f-proofs	2026-02-17	488	475	code	YES (id suffix = sample idx)	miniF2F	unspecified prover (DeepSeek-Prover family per repo naming)	NOT VERIFIED: no verification field; syntactic filter only (has theorem, no sorry)	1567626	475 standalone .lean files emitted
ahyxie-minif2f-goedel	ahyxie/goedel-minif2f-proofs	https://huggingface.co/datasets/ahyxie/goedel-minif2f-proofs	2026-02-24	3968	3407	code	YES: 128 samples x 31 miniF2F problems	miniF2F	Goedel-Prover	NOT VERIFIED: raw generations, some contain prose; syntactic filter only	34733510	CAPPED: 2000 of 3407 proofs emitted (coverage-stratified random sample, seed 0: round-robin over (benchmark,theorem) groups, named-benchmark groups first)
ahyxie-minif2f-kimina	ahyxie/kimina-minif2f-proofs	https://huggingface.co/datasets/ahyxie/kimina-minif2f-proofs	2026-02-24	3968	3918	code	YES: 128 samples x 31 miniF2F problems	miniF2F	Kimina-Prover	NOT VERIFIED: raw generations; syntactic filter only	12288625	CAPPED: 2000 of 3918 proofs emitted (coverage-stratified random sample, seed 0: round-robin over (benchmark,theorem) groups, named-benchmark groups first)
ahyxie-minif2f-kimina72b	ahyxie/kimina-72B-minif2f-proofs	https://huggingface.co/datasets/ahyxie/kimina-72B-minif2f-proofs	2026-03-02	3968	3950	code	YES: 128 samples x 31 miniF2F problems	miniF2F	Kimina-Prover-72B	NOT VERIFIED: raw generations; syntactic filter only	15409922	CAPPED: 2000 of 3950 proofs emitted (coverage-stratified random sample, seed 0: round-robin over (benchmark,theorem) groups, named-benchmark groups first)
ai4math-compfiles	charliemeyer2000/ai4math-lean	https://huggingface.co/datasets/charliemeyer2000/ai4math-lean	2026-03-31	297	258	lean4_code	no	Compfiles (IMO/USAMO/etc. competition problems)	mixed / human+model	PARTIAL: v4210_is_valid true for 67/259	2358307	258 standalone .lean files emitted
ai4math-deepseek-prover	charliemeyer2000/ai4math-lean	https://huggingface.co/datasets/charliemeyer2000/ai4math-lean	2026-03-31	27503	27503	lean4_code	no	DeepSeek-Prover-V1 corpus	DeepSeek-Prover-V1	VERIFIED: v4210_is_valid (27,126/27,503)	1037661	CAPPED: 2000 of 27503 proofs emitted (coverage-stratified random sample, seed 0: round-robin over (benchmark,theorem) groups, named-benchmark groups first)
ai4math-formal-conjectures	charliemeyer2000/ai4math-lean	https://huggingface.co/datasets/charliemeyer2000/ai4math-lean	2026-03-31	618	0	lean4_code	no	Google DeepMind formal-conjectures	mixed	VERIFIED: v4210_is_valid 13/13	0	
ai4math-formalmath	charliemeyer2000/ai4math-lean	https://huggingface.co/datasets/charliemeyer2000/ai4math-lean	2026-03-31	5560	5518	lean4_code	no	FormalMATH	mixed	PARTIAL: v4210_is_valid true for only 2/5,556	772947	CAPPED: 2000 of 5518 proofs emitted (coverage-stratified random sample, seed 0: round-robin over (benchmark,theorem) groups, named-benchmark groups first)
ai4math-goedel-pset	charliemeyer2000/ai4math-lean	https://huggingface.co/datasets/charliemeyer2000/ai4math-lean	2026-03-31	500000	75964	lean4_code	no	Goedel-Pset	Goedel-Prover	VERIFIED: v4210_is_valid	3579261	Only shard train-00000 of 4 downloaded; CAPPED: 2000 of 75964 proofs emitted (coverage-stratified random sample, seed 0: round-robin over (benchmark,theorem) groups, named-benchmark groups first)
ai4math-hf-lean-workbook	charliemeyer2000/ai4math-lean	https://huggingface.co/datasets/charliemeyer2000/ai4math-lean	2026-03-31	29750	29742	lean4_code	no	LeanWorkbook	DeepSeek-Prover-V1.5 (Goedel release)	VERIFIED: v4210_is_valid (29,208/29,750)	3110217	CAPPED: 2000 of 29742 proofs emitted (coverage-stratified random sample, seed 0: round-robin over (benchmark,theorem) groups, named-benchmark groups first)
ai4math-lean-proofs	charliemeyer2000/ai4math-lean	https://huggingface.co/datasets/charliemeyer2000/ai4math-lean	2026-03-31	98	93	lean4_code	no	misc (incl. Erdos problems)	mixed	PARTIAL: v4210_is_valid 15/97	7770825	93 standalone .lean files emitted
