slug	project	assistant	url	commit	date	n_proof_files	n_lines	n_theorems_estimate	subject_area	authorship	notes
mathlib4-Archive	Mathlib4 Archive	Lean4	https://github.com/leanprover-community/mathlib4	6ecc792a56a1f1287b2135eba94a3fb2ce2d01f7	2026-07-31	85	14865	829	competition & named theorems	human	PATH ~/ai_math_ept/mathlib4/Archive (not re-cloned). Breakdown: Imo/ 54 files 8631 lines; Wiedijk100Theorems/ 14 files 2940; Sensitivity, ZagierTwoSquares, Kuratowski, Hairer, Arithcc, MiuLanguage, OxfordInvariants, Examples. Mathlib PR policy currently forbids undisclosed AI-generated proofs; no AI markers checked here (shared mathlib history).
mathlib4-Counterexamples	Mathlib4 Counterexamples	Lean4	https://github.com/leanprover-community/mathlib4	6ecc792a56a1f1287b2135eba94a3fb2ce2d01f7	2026-07-31	29	5549	317	pathological examples (general math)	human	PATH ~/ai_math_ept/mathlib4/Counterexamples (not re-cloned).
carleson	Carleson operator / Fourier convergence (van Doorn et al.)	Lean4	https://github.com/fpvandoorn/carleson	c0ee0ad335fc74d4d507393b443759d1ce929e63	2026-07-30	119	48767	2592	harmonic analysis	human	6 MB; 992 commits; toolchain v4.33.0-rc1. AI CONTAMINATION: 1 commit 625110462eb6 "Proved RCLike.induction with Aristotle (#539)" (Harmonic Aristotle). Exclude that lemma if strict purity needed.
ConNF	Consistency of Quine's NF (Sky Wilshaw)	Lean4	https://github.com/leanprover-community/con-nf	55b939a3acf947793e252ff330800bfe968cc172	2025-06-18	170	41728	2845	set theory / logic	human	65 MB; 1319 commits; toolchain v4.21.0-rc3. 0 AI markers (only leanprover-community-bot dependency bumps). Single-author-dominated (zeramorphic/Sky Wilshaw).
FLT-regular	Fermat's Last Theorem for regular primes	Lean4	https://github.com/leanprover-community/flt-regular	85e1d57378bee015fdd45f5984371c38bc8fbb36	2026-07-31	28	4420	213	algebraic number theory	human	1 MB; 673 commits; toolchain v4.33.0-rc1. 0 AI markers. Much of the original content has been upstreamed to Mathlib, so the live repo is smaller than its historical size.
lean-matrix-cookbook	Matrix Cookbook in Lean (Eric Wieser)	Lean4	https://github.com/eric-wieser/lean-matrix-cookbook	5682ac96f54bd119bd92b053962433c6940b6385	2025-09-16	19	3033	379	linear algebra / matrix identities	human	1 MB; 160 commits; toolchain v4.22.0-rc4. 0 AI markers. Many short, independent identity proofs -> good structural analogue of competition-style one-shot proofs.
LeanAPAP	Bloom-Sisask "Kelley-Meka" bounds (Yael Dillies, Bhavik Mehta)	Lean4	https://github.com/YaelDillies/LeanAPAP	afafc42a5326d770d0f853f060b2f63947c13f0f	2026-07-16	53	7238	666	additive combinatorics	human	2 MB; 480 commits; toolchain v4.32.0. 0 AI markers.
ExponentialRamsey	Exponential improvement to diagonal Ramsey (Bhavik Mehta)	Lean4	https://github.com/b-mehta/ExponentialRamsey	6fe76e5f5ac7ca44c1cbba60ea6495cb2a07d61a	2026-07-22	39	18245	1015	combinatorics / Ramsey theory	human	2 MB; 90 commits; toolchain v4.29.0-rc6 (Lean 4 port of the original Lean 3 project). 0 AI markers.
unit-fractions	Bloom's theorem on unit fractions (Bhavik Mehta, Thomas Bloom)	Lean3	https://github.com/b-mehta/unit-fractions	10ef71a300cf29e5f19beb2bbc723a035a0678de	2023-12-03	10	12405	555	analytic number theory / combinatorics	human	5 MB; 444 commits; LEAN 3 (leanprover-community/lean:3.42.1) - pre-LLM era corpus, useful era control. 0 AI markers.
BonnAnalysis	Bonn functional-analysis course formalization (van Doorn et al.)	Lean4	https://github.com/fpvandoorn/BonnAnalysis	af8a23e0fae8fb206a7f3e48dc6728397106e246	2026-01-08	17	5604	279	functional analysis	human	2 MB; 91 commits; toolchain v4.10.0-rc1. 0 AI markers. Student/course project - mixed expertise level.
sphere-eversion	Sphere eversion / convex integration (Massot, Nash-Kuiper)	Lean4	https://github.com/leanprover-community/sphere-eversion	ded8fda5e76bd11cfde49ce5018dee73538dd776	2026-07-01	65	14641	921	differential topology / geometry	human	2 MB; 1863 commits; toolchain v4.32.0-rc1. 0 AI markers (bot commits are dependency bumps). Blueprint-driven project (Massot, van Doorn, Nash).
PhysLean	PhysLean / HepLean (Joseph Tooby-Smith et al.)	Lean4	https://github.com/HEPLean/PhysLean	471cf7ffd7d404b7ccc8ead7e6f14fcca5b84405	2026-07-30	684	186773	9108	mathematical physics	human+AI-assisted	16 MB; 3409 commits; toolchain v4.32.0. *** NOT CLEAN AS A CONTROL ***: repo ships AI-POLICY.md and AGENTS.md explicitly welcoming AI-assisted PRs, and has 27 "auto-task(...)" commits (agent-driven task workflow), mostly from 2026-06 onward. Recommend either excluding, or restricting to commits before the AI policy landed (pre-2026-06 content).
SciLean	SciLean scientific computing (Tomas Skrivan)	Lean4	https://github.com/lecopivo/SciLean	95f8119a2884e9c41f82136523bd5568ea7075c5	2026-02-18	568	86155	2092	scientific computing / autodiff	human	19 MB; 2153 commits; toolchain v4.28.0-rc1. 0 AI markers. LOW PROOF DENSITY: ~24 theorem/lemma per 1000 lines vs ~50-60 for proof-heavy projects; much of the repo is tactic/metaprogramming and simp-attribute code rather than proofs. Use with care.
mathematics_in_lean	Mathematics in Lean textbook (Avigad, Massot)	Lean4	https://github.com/leanprover-community/mathematics_in_lean	dd6d752fedb14082f557913c2dccb2d4851e5173	2026-06-10	89	11035	310	teaching / textbook	human	22 MB; 105 commits (source repo is mathematics_in_lean_source); toolchain v4.30.0. TEACHING-LEVEL. Contains both solutions/ and exercise stubs (some with sorry) - filter before use.
theorem_proving_in_lean4	Theorem Proving in Lean 4 (Avigad, de Moura, Kong, Ullrich)	Lean4	https://github.com/leanprover/theorem_proving_in_lean4	63fad08fcd5f4f3b8b0464561e2fa252671296b9	2025-12-19	17	16358	175	teaching / type theory	human	71 MB (mostly book assets); 1105 commits. TEACHING-LEVEL; proofs are illustrative snippets embedded in book examples, not a mathematical development.
math2001	Math 2001 intro-to-proof course (Heather Macbeth)	Lean4	https://github.com/hrmacbeth/math2001	e660f42b13ddcb6d12b52ba036d6bd071a0cfb9b	2024-12-09	87	7346	234	teaching / intro proofs	human	11 MB; 271 commits; toolchain v4.3.0. TEACHING-LEVEL, elementary. Included as the "student-level" end of the difficulty range; closest human analogue in difficulty to easy miniF2F/AMC items.
mathlib3	Mathlib 3 (final archived state)	Lean3	https://github.com/leanprover-community/mathlib3	65a1391a0106c9204fe45bc73a039f056558cb83	2023-10-30	3468	1120043	98383	general mathematics library	human	67 MB; 18271 commits; frozen 2023-10 (pre-LLM-proof era). 0 AI markers across full history. Best large-scale "clean era" Lean control: entirely human, written 2017-2023.
math-classes	Math Classes (Spitters, van der Weegen)	Coq	https://github.com/coq-community/math-classes	2c7e8cba2e41d8a4a79af18610da560781191c2a	2026-07-11	130	20806	789	algebra / typeclass-based abstract algebra	human	2 MB; 744 commits. 1004 Qed/Defined. 0 AI markers.
corn	CoRN - Coq Repository at Nijmegen (constructive reals)	Coq	https://github.com/coq-community/corn	ada7c0b497ff15dd67cf7932c6f20e143a2aee2f	2026-04-04	375	189925	6946	constructive analysis / real numbers	human	9 MB; 1867 commits. 7305 Qed/Defined. 0 AI markers. Development dates back to ~2003 - excellent old-era control.
coq-100-theorems	Coq entries for Freek Wiedijk's 100 theorems	Coq	https://github.com/coq-community/coq-100-theorems	dc10c8802b853ebc9c15a0b4bf2effe94ffff9b6	2025-11-26	10	3606	134	named theorems	human	1 MB; 149 commits. 137 Qed. 0 AI markers. Small but directly comparable to mathlib4-Archive/Wiedijk100Theorems (same theorem list, different assistant).
GeoCoq	GeoCoq - Tarski/Euclid geometry (Braun, Narboux)	Coq	https://github.com/GeoCoq/GeoCoq	8848449c79c76eecd0c19c3f428c75f126117e66	2025-11-18	460	161725	4646	euclidean / synthetic geometry	human	7 MB; 182 commits in this shallow-then-unshallowed clone. 4541 Qed. 0 AI markers. Very long chains of elementary geometric lemmas - distinctive proof-graph topology.
fourcolor	Four Colour Theorem (Gonthier, Werner)	Coq	https://github.com/coq-community/fourcolor	f2fcc837b817632f334f9c7d7fbb0195ad4ba4e2	2026-04-01	119	44695	1396	graph theory / combinatorics	human	4 MB; 150 commits. 852 Qed. 0 AI markers. SAME LINEAGE AS THE 2022 PAPER's four-colour proof network - highest-priority replication target.
odd-order	Feit-Thompson Odd Order Theorem (Gonthier et al.)	Coq	https://github.com/math-comp/odd-order	d74d320c9a57693c0f2394a09a486b2c3cb38166	2026-07-24	34	40549	1062	finite group theory	human	4 MB; 199 commits. 913 Qed. 0 AI markers. SAME LINEAGE AS THE 2022 PAPER's Sylow/group-theory networks - highest-priority replication target. Depends on math-comp.
math-comp	Mathematical Components library	Coq	https://github.com/math-comp/math-comp	f8d1378d7857d73640c7ccfa6752a94f41b6e2c6	2026-07-29	147	150146	16134	general mathematics library (algebra, combinatorics)	human	12 MB; 2860 commits. 6496 Qed (many results are proved by ssreflect one-liners/`by ...` so Qed count < declaration count). 0 AI markers. Dependency base for odd-order and fourcolor.
hydra-battles	Hydra battles, ordinals, Ackermann (Casteran et al.)	Coq	https://github.com/coq-community/hydra-battles	ed8e6048018a61b4fe6d7d6f96daf0d63da2eba8	2025-01-22	205	102507	3999	ordinals / termination / logic	human	12 MB; 1857 commits. 3777 Qed. 0 AI markers (earlier hits were the author name "Clement Pit-Claudel", a false positive on 'claude').
coq-stdlib	Rocq/Coq standard library	Coq	https://github.com/rocq-prover/stdlib	b1c45dfc593b83371bdc996376de5b4ed66c5085	2026-07-30	904	220126	12878	foundational library	human	15 MB; 45211 commits (history back to 1999). 11835 Qed. 0 AI markers after filtering false positives (contributors named Claude Stolze / Claude Marche; coqbot-app merge commits). Widest era span of any corpus here.
afp	Archive of Formal Proofs (full mirror, 1010 entries)	Isabelle	https://github.com/isabelle-prover/mirror-afp-devel	640593ab3135b7a1a30b0c295f7bbf20914fda71	2026-07-29	10351	6101054	311123	mixed: mathematics, CS, logic	human	708 MB - FULL AFP fit well under the 15 GB threshold, no subsetting needed. Entry dates span 2004-2026 (15 entries in 2004 ... 62 in 2026); ~700 distinct authors. Topic split (by first topic tag, .thy files): Mathematics 370 entries / 2321 files / 1,896,514 lines / 95,635 lemmas; Computer science 482 / 6450 / 3,430,426 / 172,322; Logic 134 / 1276 / 678,578 / 36,751; Tools 24 / 304 / 95,536 / 6,415. Per-entry metadata (topics, authors, dates, abstracts) in metadata/entries/*.toml. Commit history NOT scanned for AI markers (shallow clone; 50k+ commit mirror), but AFP requires named human authors and per-entry review.
