slug	system_name	organization	url	date_collected	lean_or_other	toolchain_version	n_proof_files	n_proofs_estimate	format	verified_claim	proof_search_style	notes
lean-eval-submissions	lean-eval leaderboard (30 public systems: Aristotle, GPT-5.5/5.6, Claude Opus 4.7/4.8/Fable 5, Gemini 3.1 Pro, Kimi K2.6/K2.7, Grok 4.3/4.5, DeepSeek V4, Leanstral-2603, Mistral Large 3, Qwen3.6 Max, EVO, Antigravity ensemble, Humanifa)	Lean FRO / community	https://github.com/leanprover/lean-eval-submissions	2026-07-31	lean4	leanprover/lean4:v4.30.0-rc2 (benchmark pin; individual systems targeted v4.24-v4.28)	433	1042 solved entries (482 public, 560 private) over 51 systems and ~168 distinct problems	one Submission.lean per (system,problem) + JSON index (results/*.json, leaneval_index.json)	yes - CI-verified by the benchmark comparator against pinned Lean+Mathlib	mixed (agentic for LLM entries, tree_search for Aristotle/Seed)	HIGHEST VALUE for structural comparison: many distinct systems proving the SAME research-level Lean statements, with per-entry provenance (issue number, benchmark commit, production_description). I resolved submission_repo/submission_ref for every PUBLIC entry and fetched the .lean; 24 public entries unresolvable (odd repo layouts). 560 entries are marked submission_public=false (Seed Prover 147, Tau 112, Aleph 61, Stealth Model 110 largely withheld) - the index rows are kept in leaneval_index.json so the gap is auditable. Benchmark statements cloned separately as lean-eval-bench.
mcb-minif2f-6provers	6 open prover models re-run on miniF2F (Goedel-Prover-DPO, Goedel-Prover-V2-8B, DeepSeek-Prover-V2-7B, Kimina-Prover-Distill-8B, Kimina-Prover-RL-1.7B, STP_model_Lean)	MCB-SMART-BOY (independent re-run; models from Goedel-LM / DeepSeek / AI-MO / kfdong)	https://github.com/MCB-SMART-BOY/minif2f	2026-07-31	lean4	unpinned (proofs carry the DeepSeek-style header import Mathlib/import Aesop/maxHeartbeats 0)	2077	374784 attempts (6 models x 488 miniF2F theorems x 128 attempts); 317 MB extracted lean_code + 1.8 GB raw generations	JSON: {model: {theorem: {attempt_N: lean_code}}} plus output/raw_output/*.json	NO - attempts are NOT Lean-checked; includes many failures (e.g. norm_num referencing nonexistent hypotheses)	whole_proof (single-shot sampling, vLLM, 128 i.i.d. attempts per theorem)	VERY HIGH VALUE: 6 systems on identical statements, same sampling protocol, same prompt - the cleanest controlled cross-system contrast available. standalone/ has one subdir per model containing attempt_1 for each theorem (488 cap per model, no random subsampling needed). Because attempts are unverified this is also the best source of matched success/failure pairs, but any structural claim must be conditioned on compiling them first.
stp-lean-0320	STP (Self-play Theorem Prover)	Kefan Dong & Tengyu Ma, Stanford	https://huggingface.co/datasets/kfdong/STP_Lean_0320	2026-07-31	lean4	unpinned; DeepSeek-Prover-V1.5 environment (Mathlib master via lakefile, REPL fork xinhjBrant/repl@deepseek)	2000	3262558 rows total: 275287*10 conjecture-proofs, 40255*10 benchmark-statement proofs, 10714*10 mathlib-extracted examples (per-shard counts x10 shards); 404412 rows tagged 'statement'	parquet (prompt/target/weight/iteration/tag); prompt = header+theorem+':= by', target = tactic block	yes - authors state only Lean-verified proofs enter the dataset (arXiv:2502.00212)	whole_proof	README: 'new SoTA for whole-proof generation methods on miniF2F, ProofNet, and LeanWorkbook'. Largest self-generated Lean corpus available. standalone/ sampled (seed 0) from tag=='statement' ONLY, i.e. proofs of real benchmark statements (LeanWorkbook/miniF2F-valid/ProofNet-valid) - directly comparable to Goedel Lean-workbook-proofs and internlm-lean-workbook. The 'conjecture' rows are proofs of self-invented statements (interesting separately). Cap 2000 of 404412.
internlm-lean-workbook	InternLM2-StepProver / InternLM2.5-StepProver (Lean Workbook)	Shanghai AI Laboratory	https://huggingface.co/datasets/internlm/Lean-Workbook	2026-07-31	lean4	leanprover/lean4:v4.8.0-rc1 + Mathlib4 tag v4.8.0-rc1 (stated in dataset card)	2000	12823 problems with >=1 proof; 223156 total alternative proofs; plus wkbk_1009.parquet = 25214 tactic-level (state_before/tactic/state_after) records	JSON (natural_language_statement, answer, tags, formal_statement, split, proof=LIST of alternative complete proofs) + parquet tactic traces	yes - proofs were found by search against the Lean compiler	stepwise_tactic (best-first search over single tactics; the parquet ships state_before/tactic/state_after triples)	HIGH VALUE: third independent system proving Lean Workbook (with Goedel-Prover and STP), and the ONLY one here that is stepwise-tactic rather than whole-proof - exactly the architecture contrast the project is testing. Note the multi-proof structure: 12823 problems carry a median of ~6 DISTINCT proofs each, useful for within-problem variance. standalone/ uses proof[0] per problem, cap 2000 of 12823.
numinamath-proof-artifacts	Kimina-Prover pipeline outputs re-analysed, paired with human proofs	IIIS (Tsinghua) derived from AI-MO/NuminaMath-LEAN	https://huggingface.co/datasets/iiis-lean/NuminaMath-LEAN-Proof-Artifacts	2026-07-31	lean4	Lean 4 REPL-validated (Mathlib version not pinned in card)	4000	lite config downloaded: ~40000 rows; 31387 with prover_formal_proof, 9109 with human_formal_proof	parquet, 26 columns incl. human_formal_proof / prover_formal_proof, *_validation_status, *_all_tactics, *_infotree, *_sorries	yes - each track carries an explicit Lean-REPL validation_status (valid/partial/invalid)	whole_proof (Kimina line)	VERY HIGH VALUE: the only corpus with a HUMAN proof and an AI proof of the SAME formal statement, both with parsed tactic lists and infotrees. Ideal control for 'is AI proof structure different from human proof structure' independent of statement difficulty. SAMPLED: only the 'lite' config (309 MB / 5 shards) was taken; the 'full' config is 14.9 GB and was skipped per the 15 GB rule. standalone/prover and standalone/human, cap 2000 each.
pythagoras-sft	Pythagoras-Prover	Pythagoras-LM (arXiv 2606.12594)	https://huggingface.co/datasets/Pythagoras-LM/SFT_Dataset	2026-07-31	lean4	not stated in card	2000	126113 released rows (partial subset of a claimed 841K); 30K easy / 49K medium / 47K hard	JSON (Question, Source, Formal Statement, Formal Proof, Problem Type, Reasoning Chain, Difficulty)	claimed (synthetic-data pipeline with Lean filtering)	whole_proof (statement -> reasoning chain -> single formal proof)	Newest system in the census (June 2026); includes an explicit natural-language Reasoning Chain alongside every formal proof, which is unusual and lets you test whether plan structure predicts proof structure. Cap 2000 of 126113.
leanabell-sft	Leanabell-Prover (SFT corpus)	Leanabell / stoney0062	https://huggingface.co/datasets/stoney0062/Leanabell-Prover-Traindata-SFT	2026-07-31	lean4	unpinned (DeepSeek-style header, maxHeartbeats 0)	2000	218988 rows	JSONL (prompt with fenced lean4 statement, output = commented proof body)	claimed (posttraining corpus filtered by the Lean compiler)	whole_proof	CAVEAT ON NOVELTY: the prompt template ('Complete the following Lean 4 code with explanatory comments preceding each line of code') and the interleaved /- ... -/ narration are inherited from the DeepSeek-Prover-V1.5/Goedel lineage, so a nontrivial share of these proofs may be re-packaged rather than newly generated by Leanabell. Treat as a lineage-descendant sample, not an independent system, unless you dedupe against DeepSeek-Prover-V1 and Goedel corpora. Cap 2000 of 218988.
leanabell-v2-coldstart	Leanabell-Prover-V2 (cold-start / compiler-feedback corpus)	Leanabell / stoney0062	https://huggingface.co/datasets/stoney0062/Leanabell-Prover-V2-Coldstart-DS	2026-07-31	lean4	unpinned	1788	5638 conversations (5636 parsed; 1788 yielded a sorry-free final code block)	JSONL, 'conversations' chat format; user turn asks for a plan then code, assistant turn contains reasoning + revised code between <compiler_results> cycles	claimed (final code is the post-repair revision)	agentic (explicit compile -> read errors -> revise loop, plus an up-front natural-language proof plan)	Distinctly different architecture from leanabell-sft: the prompt literally instructs 'Capture the compiler's output ... Analyze the compiler results and revise your code'. Good exemplar of the iterative-repair family. standalone/ keeps only the LAST fenced lean4 block per conversation and drops any that still contain sorry.
dsp15rl-minif2f-sampling	DeepSeek-Prover-V1.5-RL, plain sampling	DeepSeek (outputs re-run and published by HF user 'autores')	https://huggingface.co/datasets/autores/DSP1.5RL-minif2f-sampling_4	2026-07-31	lean4	DeepSeek-Prover-V1.5 environment (Lean 4 + Mathlib4, version unpinned)	927	1952 attempts over all 488 miniF2F problems x 4 samples; 927 successes / 1025 failures	parquet (problem_name, sample_info, formal_statement, proof_code, result=Lean REPL JSON, status)	yes - each row carries the raw Lean REPL result JSON and a success/failure status	whole_proof	HIGH VALUE as one half of a within-model search-architecture contrast (see dsp15rl-minif2f-rmaxts). Full miniF2F coverage, includes explicit failures. standalone/ = the 927 successes.
dsp15rl-minif2f-rmaxts	DeepSeek-Prover-V1.5-RL + RMaxTS (Monte-Carlo tree search)	DeepSeek (outputs published by HF user 'autores')	https://huggingface.co/datasets/autores/DSP1.5RL-minif2f-RmaxTS-4samples-all	2026-07-31	lean4	DeepSeek-Prover-V1.5 environment	1440	1440 successful proofs but only 4 DISTINCT miniF2F problems (deep search, many proofs per problem)	parquet, same schema as the sampling run	yes - Lean REPL result JSON per row, all status=success	tree_search (RMaxTS, intrinsic-reward-driven MCTS over truncate-and-resume proof states)	SCIENTIFICALLY IMPORTANT but SMALL COVERAGE: same base model as dsp15rl-minif2f-sampling, same benchmark, different search architecture - a clean within-model manipulation. However only 4 problems are covered, so it supports a deep within-problem comparison, not a broad one. Companion dsp15rl-minif2f-rmaxts-ckpt holds 16 raw search-tree records (root/sample_count/yield_cache) - tree topology, no standalone extraction.
