pair,selection_strata
pair_00029a23,lexicographic
pair_0050c84f,lexicographic
pair_006994c7,lexicographic
pair_006b5904,lexicographic
pair_007a0fab,lexicographic
pair_007c64c7,lexicographic
pair_00b23e63,lexicographic
pair_00c3ecd5,lexicographic
pair_00e0db33,lexicographic
pair_00f46d63,lexicographic
pair_00f6f69b,lexicographic
pair_0104d9f5,lexicographic
pair_011cd4a8,lexicographic
pair_0145f28f,lexicographic|source:unknown
pair_014f63cf,lexicographic
pair_0152caff,lexicographic
pair_0156cf6d,lexicographic
pair_01574a48,lexicographic
pair_0159d31f,lexicographic
pair_01d89852,lexicographic
pair_01eb3f84,lexicographic
pair_02214b2f,lexicographic
pair_02298a7a,lexicographic
pair_0246fb93,lexicographic
pair_02491ecb,lexicographic
pair_0262cdc9,lexicographic
pair_02867743,lexicographic
pair_02c12297,lexicographic
pair_02cae9ff,lexicographic
pair_02d50781,lexicographic
pair_02dd0798,lexicographic
pair_02f18045,lexicographic
pair_02f799b6,lexicographic
pair_031e226a,lexicographic
pair_03542350,lexicographic
pair_036e6d88,lexicographic
pair_03a1c8d7,lexicographic
pair_03f27419,lexicographic
pair_03fe8450,lexicographic
pair_040b5261,lexicographic
pair_0418444e,lexicographic
pair_041cccd6,lexicographic
pair_042fa966,lexicographic
pair_045087bc,lexicographic
pair_04759e39,lexicographic|source:secondary_math
pair_047a9beb,lexicographic
pair_0487694f,lexicographic
pair_0490c5e2,lexicographic
pair_0493582a,lexicographic
pair_04a27118,lexicographic
pair_05bb3001,source:number_theory
pair_0ab4e485,largest_root
pair_0ae64546,largest_root
pair_0afd1fb7,source:unknown
pair_0bd33b17,largest_root
pair_0f3a18aa,source:math_train
pair_0fc81044,source:olympiads_ref
pair_10db0ca7,source:cn_k12
pair_1286e618,source:amc_aime
pair_12b77ca2,source:math_train
pair_1356d3a6,source:olympiads
pair_1414cef2,source:cn_contest
pair_150b3df7,source:number_theory
pair_16f848fe,source:math_test
pair_19517b6c,largest_root
pair_1a4c80fd,source:cn_k12
pair_1bb6b6fd,source:amc_aime
pair_1ca8a89b,largest_root
pair_1ea042ec,source:olympiads
pair_1fd113f9,source:unknown
pair_22d239ab,largest_root
pair_273bbcc3,largest_root
pair_28166c34,source:amc_aime
pair_29c03238,largest_root
pair_2a84587a,source:number_theory
pair_2ab91001,source:aops_forum
pair_31efc93a,source:cn_k12
pair_31f6864c,largest_root
pair_327d18cf,largest_root
pair_3395ed90,largest_root
pair_33f8d99b,largest_root
pair_34ed3643,source:secondary_math
pair_3583dfea,largest_root
pair_359f2631,source:secondary_math
pair_36da045a,source:olympiads_ref
pair_37c40664,source:math_train
pair_37cb176c,source:amc_aime
pair_386498e5,largest_root
pair_39bdbaef,largest_root
pair_3ae19d99,largest_root
pair_3d2c868d,source:olympiads_ref
pair_3d4696f0,largest_root
pair_3da844f5,source:inequalities
pair_3de9a2e0,source:math_test
pair_3f3158ea,source:inequalities
pair_3f68a756,largest_root
pair_3fa78c24,largest_root
pair_42df760d,source:olympiads
pair_468a8357,largest_root
pair_47347e14,source:cn_k12
pair_474f3b09,source:math_train
pair_479d7e25,largest_root
pair_47c28704,largest_root
pair_4852725b,source:math_train
pair_4a23a011,source:number_theory
pair_4acf6310,source:number_theory
pair_4b2c224c,source:math_train
pair_4d1206f0,source:secondary_math
pair_4d250b5a,source:inequalities
pair_521234ef,source:aops_forum
pair_52f16799,source:cn_k12
pair_53ed7ca7,largest_root
