pair,source,side,claim_index,name,type,name_prompt_index,type_prompt_index
pair_006b5904,olympiads,h,0,h₁,Irrational (Real.sqrt 2),0,1
pair_006b5904,olympiads,h,1,h₂,¬ Irrational (x),2,3
pair_006b5904,olympiads,a,0,h2,Irrational (Real.sqrt 2),4,5
pair_006b5904,olympiads,a,1,h3,¬ Irrational (Real.sqrt 2),6,7
pair_00b23e63,cn_contest,h,0,h1,a^3 + b^3 = (a + b) * (a^2 - a * b + b^2),8,9
pair_00b23e63,cn_contest,h,1,h2,a^2 - a * b + b^2 = 12,10,11
pair_00b23e63,cn_contest,h,2,h3,(a + b) ^ 2 = 36,12,13
pair_00b23e63,cn_contest,h,3,h4,(a + b) ^ 2 = a^2 + 2 * a * b + b^2,14,15
pair_00b23e63,cn_contest,h,4,hab,a * b = 8,16,17
pair_00b23e63,cn_contest,a,0,h1,a^3 + b^3 = (a + b) ^ 3 - 3 * a * b * (a + b),18,19
pair_00b23e63,cn_contest,a,1,h2,a * b = 8,20,21
pair_00b23e63,cn_contest,a,2,h3,a^2 + b^2 = (a + b)^2 - 2 * (a * b),22,23
pair_00c3ecd5,math_test,h,0,ineq₁,B2 - A2 ≤ 3,24,25
pair_00c3ecd5,math_test,h,1,ineq₂,2 ≤ B1 - A1,26,27
pair_00c3ecd5,math_test,a,0,h1,(B.2 - A.2) / (B.1 - A.1) ≤ (3 / (2 : ℝ)),28,29
pair_00c3ecd5,math_test,a,1,h4,B.2 - A.2 ≤ 3,30,31
pair_00c3ecd5,math_test,a,2,h5,B.1 - A.1 ≥ 2,32,33
pair_00c3ecd5,math_test,a,3,h_denom_nonpos,B.1 - A.1 ≤ 0,34,35
pair_00c3ecd5,math_test,a,4,h_denom_zero,B.1 - A.1 = 0,36,37
pair_0262cdc9,amc_aime,h,0,e,y ^ 2 = x ^2,38,39
pair_0262cdc9,amc_aime,h,1,ip,x = 0 ∧ y = 0,40,41
pair_0262cdc9,amc_aime,a,0,h1,(x - y) * (x + y) * (x + y + 1) = 0,42,43
pair_0262cdc9,amc_aime,a,1,h2,y = x ∨ y = -x ∨ x + y + 1 = 0,44,45
pair_0262cdc9,amc_aime,a,2,h3,"∀ x : ℝ, ¬ ∃ y, y = x ∧ y = -x ∧ x + y + 1 = 0",46,47
pair_0262cdc9,amc_aime,a,3,h4,x = 0,48,49
pair_0262cdc9,amc_aime,a,4,h5,y = 0,50,51
pair_047a9beb,amc_aime,h,0,h1,d = (t + 1/20) * 40,52,53
pair_047a9beb,amc_aime,h,1,h2,d = (t - 1/20) * 60,54,55
pair_047a9beb,amc_aime,h,2,h3,(t + 1/20) * 40 = (t - 1/20) * 60,56,57
pair_047a9beb,amc_aime,h,3,h4,t = 1 / 4,58,59
pair_047a9beb,amc_aime,a,0,eq1,40 * (t + 3 / 60) = d,60,61
pair_047a9beb,amc_aime,a,1,eq2,60 * (t - 3 / 60) = d,62,63
pair_047a9beb,amc_aime,a,2,ht,t = 1 / 4,64,65
pair_047a9beb,amc_aime,a,3,hd,d = 12,66,67
pair_04c5bf83,olympiads,h,0,eq1,x + y + z = 7,68,69
pair_04c5bf83,olympiads,h,1,ineq1,x + y + z ≤ 10,70,71
pair_04c5bf83,olympiads,h,2,ineq2,6 ≤ x + y + z,72,73
pair_04c5bf83,olympiads,h,3,hx,x + 2 = z,74,75
pair_04c5bf83,olympiads,h,4,hy,y + 2 * z = 9,76,77
pair_04c5bf83,olympiads,h,5,hz1,2 ≤ z,78,79
pair_04c5bf83,olympiads,h,6,hz2,z ≤ 4,80,81
pair_04c5bf83,olympiads,a,0,h2,x ≤ 10,82,83
pair_04c5bf83,olympiads,a,1,h3,y ≤ 7,84,85
pair_04c5bf83,olympiads,a,2,h4,z ≤ 6,86,87
pair_04c5bf83,olympiads,a,3,h5,x ≤ 10,88,89
pair_04c5bf83,olympiads,a,4,h6,y ≤ 7,90,91
pair_04c5bf83,olympiads,a,5,h7,z ≤ 6,92,93
pair_05f39502,olympiads,h,0,bla,b < a,94,95
pair_05f39502,olympiads,h,1,clb,c < b,96,97
pair_05f39502,olympiads,h,2,cla,c < a,98,99
pair_05f39502,olympiads,h,3,ale15,a ≤ 15,100,101
pair_05f39502,olympiads,h,4,ble23,b ≤ 23,102,103
pair_05f39502,olympiads,h,5,cle47,c ≤ 47,104,105
pair_05f39502,olympiads,h,6,cge17,17 ≤ c,106,107
pair_05f39502,olympiads,a,0,h1,a ≤ 47,108,109
pair_05f39502,olympiads,a,1,h2,b ≤ 47,110,111
pair_05f39502,olympiads,a,2,h3,c ≤ 47,112,113
pair_070c0d6f,amc_aime,h,0,factor_768,768 = 2^8 * 3,114,115
pair_070c0d6f,amc_aime,h,1,factor_384,384 = 2^7 * 3,116,117
pair_070c0d6f,amc_aime,h,2,primes_768,"primeFactors 768 = {2, 3}",118,119
pair_070c0d6f,amc_aime,h,3,primes_384,"primeFactors 384 = {2, 3}",120,121
pair_070c0d6f,amc_aime,h,4,factorization_768,(768).factorization 2 = 8 ∧ (768).factorization 3 = 1,122,123
pair_070c0d6f,amc_aime,h,5,factorization_384,(384).factorization 2 = 7 ∧ (384).factorization 3 = 1,124,125
pair_070c0d6f,amc_aime,h,6,f768,f 768 = 2044 / 768,126,127
pair_070c0d6f,amc_aime,h,7,f384,f 384 = 1020 / 384,128,129
pair_070c0d6f,amc_aime,a,0,h1,"(∑ d in (768 : ℕ).divisors, d) = 2044",130,131
pair_070c0d6f,amc_aime,a,1,h2,"(∑ d in (384 : ℕ).divisors, d) = 1020",132,133
pair_085513ab,olympiads_ref,h,0,h1,sin θ > 0 ∧ sin θ < 1,134,135
pair_085513ab,olympiads_ref,h,1,h2,cos θ > 0 ∧ cos θ < 1,136,137
pair_085513ab,olympiads_ref,h,2,h3,sin θ * cos θ > 0,138,139
pair_085513ab,olympiads_ref,h,3,h4,x ^ 3 ≥ 2 * x ^ 2 - x,140,141
pair_085513ab,olympiads_ref,h,4,heq,sin θ + cos θ + tan θ + cot θ - 1 / cos θ - 1 / sin θ = (1 - (sin θ) ^ 3 - (cos θ) ^ 3) / (sin θ * cos θ),142,143
pair_085513ab,olympiads_ref,a,0,h3,sin θ > 0,144,145
pair_085513ab,olympiads_ref,a,1,h4,cos θ > 0,146,147
pair_085513ab,olympiads_ref,a,2,h5,sin θ * cos θ > 0,148,149
pair_085513ab,olympiads_ref,a,3,h6,sin θ + cos θ - 1 > 0,150,151
pair_085513ab,olympiads_ref,a,4,htan,tan θ = sin θ / cos θ,152,153
